21.2 376.105 123.895 
21.3 376.647 123.353 
21.4 377.176 122.824 
21.5 377.694 122.306 
21.6 378.2 121.8 
21.7 378.694 121.306 
21.8 379.177 120.823 
21.9 379.65 120.35 
22 380.111 119.889 
22.1 380.562 119.438 
22.2 381.003 118.997 
22.3 381.434 118.566 
22.4 381.855 118.145 
22.5 382.266 117.734 
22.6 382.668 117.332 
22.7 383.061 116.939 
22.8 383.445 116.555 
22.9 383.821 116.179 
23 384.188 115.812 
23.1 384.546 115.454 
23.2 384.897 115.103 
23.3 385.239 114.761 
23.4 385.574 114.426 
23.5 385.901 114.099 
23.6 386.22 113.78 
23.7 386.533 113.467 
23.8 386.838 113.162 
23.9 387.137 112.863 
24 387.428 112.572 
24.1 387.713 112.287 
24.2 387.992 112.008 
24.3 388.264 111.736 
24.4 388.53 111.47 
24.5 388.79 111.21 
24.6 389.044 110.956 
24.7 389.292 110.708 
24.8 389.535 110.465 
24.9 389.772 110.228 
25 390.004 109.996 
25.1 390.231 109.769 
25.2 390.452 109.548 
25.3 390.668 109.332 
25.4 390.88 109.12 
25.5 391.087 108.913 
25.6 391.288 108.712 
25.7 391.486 108.514 
25.8 391.679 108.321 
25.9 391.867 108.133 
26 392.052 107.948 
26.1 392.232 107.768 
26.2 392.408 107.592 
26.3 392.58 107.42 
26.4 392.748 107.252 
26.5 392.912 107.088 
26.6 393.073 106.927 
26.7 393.23 106.77 
26.8 393.383 106.617 
26.9 393.533 106.467 
27 393.68 106.32 
27.1 393.823 106.177 
27.2 393.963 106.037 
27.3 394.099 105.901 
27.4 394.233 105.767 
27.5 394.364 105.636 
27.6 394.491 105.509 
27.7 394.616 105.384 
27.8 394.738 105.262 
27.9 394.857 105.143 
28 394.974 105.026 
28.1 395.088 104.912 
28.2 395.199 104.801 
28.3 395.308 104.692 
28.4 395.414 104.586 
28.5 395.518 104.482 
28.6 395.619 104.381 
28.7 395.719 104.281 
28.8 395.816 104.184 
28.9 395.91 104.09 
29 396.003 103.997 
29.1 396.093 103.907 
29.2 396.182 103.818 
29.3 396.268 103.732 
29.4 396.353 103.647 
29.5 396.435 103.565 
29.6 396.516 103.484 
29.7 396.595 103.405 
29.8 396.672 103.328 
29.9 396.748 103.252 
30 396.821 103.179 
30.1 396.893 103.107 
30.2 396.964 103.036 
30.3 397.032 102.968 
30.4 397.1 102.9 
30.5 397.165 102.835 
30.6 397.229 102.771 
30.7 397.292 102.708 
30.8 397.353 102.647 
30.9 397.413 102.587 
31 397.472 102.528 
31.1 397.529 102.471 
31.2 397.585 102.415 
31.3 397.64 102.36 
31.4 397.693 102.307 
31.5 397.745 102.255 
31.6 397.796 102.204 
31.7 397.846 102.154 
31.8 397.895 102.105 
31.9 397.943 102.057 
32 397.989 102.011 
32.1 398.035 101.965 
32.2 398.079 101.921 
32.3 398.123 101.877 
32.4 398.165 101.835 
32.5 398.207 101.793 
32.6 398.247 101.753 
32.7 398.287 101.713 
32.8 398.326 101.674 
32.9 398.364 101.636 
33 398.401 101.599 
33.1 398.437 101.563 
33.2 398.472 101.528 
33.3 398.507 101.493 
33.4 398.541 101.459 
33.5 398.574 101.426 
33.6 398.606 101.394 
33.7 398.638 101.362 
33.8 398.669 101.331 
33.9 398.699 101.301 
34 398.728 101.272 
34.1 398.757 101.243 
34.2 398.785 101.215 
34.3 398.813 101.187 
34.4 398.839 101.161 
34.5 398.866 101.134 
34.6 398.891 101.109 
34.7 398.917 101.083 
34.8 398.941 101.059 
34.9 398.965 101.035 
35 398.988 101.012 
35.1 399.011 100.989 
35.2 399.034 100.966 
35.3 399.056 100.944 
35.4 399.077 100.923 
35.5 399.098 100.902 
35.6 399.118 100.882 
35.7 399.138 100.862 
35.8 399.158 100.842 
35.9 399.177 100.823 
36 399.195 100.805 
36.1 399.214 100.786 
36.2 399.231 100.769 
36.3 399.249 100.751 
36.4 399.266 100.734 
36.5 399.282 100.718 
36.6 399.299 100.701 
36.7 399.315 100.685 
36.8 399.33 100.67 
36.9 399.345 100.655 
37 399.36 100.64 
37.1 399.375 100.625 
37.2 399.389 100.611 
37.3 399.403 100.597 
37.4 399.416 100.584 
37.5 399.429 100.571 
37.6 399.442 100.558 
37.7 399.455 100.545 
37.8 399.467 100.533 
37.9 399.479 100.521 
38 399.491 100.509 
38.1 399.503 100.497 
38.2 399.514 100.486 
38.3 399.525 100.475 
38.4 399.536 100.464 
38.5 399.546 100.454 
38.6 399.556 100.444 
38.7 399.566 100.434 
38.8 399.576 100.424 
38.9 399.586 100.414 
39 399.595 100.405 
39.1 399.604 100.396 
39.2 399.613 100.387 
39.3 399.622 100.378 
39.4 399.631 100.369 
39.5 399.639 100.361 
39.6 399.647 100.353 
39.7 399.655 100.345 
39.8 399.663 100.337 
39.9 399.671 100.329 
40 399.678 100.322 
40.1 399.685 100.315 
40.2 399.692 100.308 
40.3 399.699 100.301 
40.4 399.706 100.294 
40.5 399.713 100.287 
40.6 399.719 100.281 
40.7 399.726 100.274 
40.8 399.732 100.268 
40.9 399.738 100.262 
41 399.744 100.256 
41.1 399.75 100.25 
41.2 399.755 100.245 
41.3 399.761 100.239 
41.4 399.766 100.234 
41.5 399.772 100.228 
41.6 399.777 100.223 
41.7 399.782 100.218 
41.8 399.787 100.213 
41.9 399.792 100.208 
42 399.796 100.204 
42.1 399.801 100.199 
42.2 399.805 100.195 
42.3 399.81 100.19 
42.4 399.814 100.186 
42.5 399.818 100.182 
42.6 399.822 100.178 
42.7 399.826 100.174 
42.8 399.83 100.17 
42.9 399.834 100.166 
43 399.838 100.162 
43.1 399.842 100.158 
43.2 399.845 100.155 
43.3 399.849 100.151 
43.4 399.852 100.148 
43.5 399.856 100.144 
